N,S_1,S_2,S_3, S_1_diff, S_2_diff
1,0.166667,0.166667,0.166667,1.66533e-16,1.66533e-16
2,0.216667,0.216667,0.216667,0,5.12411e-16
4,0.254365,0.254365,0.254365,4.36468e-16,0
8,0.278305,0.278305,0.278305,1.99462e-16,1.39623e-15
16,0.291931,0.291931,0.291931,7.60607e-16,1.90152e-15
32,0.29922,0.29922,0.29922,7.42079e-16,6.67871e-15
64,0.302992,0.302992,0.302992,1.8321e-15,2.38173e-14
128,0.304911,0.304911,0.304911,3.45908e-15,2.01173e-13
256,0.305879,0.305879,0.305879,5.26294e-15,4.58602e-13
512,0.306365,0.306365,0.306365,7.61009e-15,9.25532e-13
1024,0.306609,0.306609,0.306609,1.19492e-14,6.70315e-12
2048,0.306731,0.306731,0.306731,2.17172e-14,3.13162e-12
4096,0.306792,0.306792,0.306792,4.66827e-14,3.64885e-11
8192,0.306822,0.306822,0.306822,4.48689e-14,5.31819e-11
16384,0.306838,0.306838,0.306838,6.02443e-14,2.36651e-10
32768,0.306845,0.306845,0.306845,1.15601e-13,7.16738e-10
65536,0.306849,0.306849,0.306849,1.22293e-13,7.64153e-10
131072,0.306851,0.306851,0.306851,1.30795e-13,1.07005e-08
262144,0.306852,0.306852,0.306852,2.20885e-13,1.18119e-08
524288,0.306852,0.306852,0.306852,2.1582e-13,5.74136e-09
